the_geom,OBJECTID,X,Y,PLACEID,YEARPLACEID,CITY,STATE,CITYSTATE,YEAR,ASOFDATE,DOCKID,STATIONCT_BIN,DOCKNM,DOCKLESSCT,DOCKLESS_BIN,DOCKLESSNM,SCOOTERCT,SCOOTER_BIN,SCOOTERNM,TYPE,LAT,LON,GEOID,NOTESDOCK,NOTESDOCKLESS,NOTESSCOOTER,DATEDOCKEDLAUNCH,DATEDOCKEDEND,DATESCOOTERLAUNCH,DATESCOOTEREND,DATEDOCKLESSLAUNCH,DATEDOCKLESSEND,DOCKCT,DOCKCT_JUL,STATIONCT_PCT,DOCKNM_JUL,DOCKNM_CAMPUSONLY,DOCKLESSCT_JUL,DOCKLESSNM_JUL,DOCKLESSNM_CAMPUSONLY,SCOOTERCT_JUL,SCOOTERNM_JUL,SCOOTERNM_CAMPUSONLY
POINT (-98.230080000157 26.204299999989),727,-98.23008,26.2043,TX00203,2023TX00203,McAllen,TX,"McAllen, TX",2023,202312,28,4,McAllen B-cycle (RGV B-cycle),0,0,,0,0,,Docked only,26.2043,-98.23008,48215,,,,Oct-15 (McAllen B-cycle (RGV B-cycle)),,,,,,17,17,0.19326967,McAllen B-cycle (RGV B-cycle),,0,,,0,,
POINT (-121.954430000144 37.764800000333),1130,-121.95443,37.7648,CA0029,2023CA0029,San Ramon,CA,"San Ramon, CA",2023,202312,,0,,1,1,Bird,1,1,Bird,Dockless and e-scooters,37.7648,-121.95443,06013,,Launched Dec-2022 then paused before re-launching  May-2023. 1-year pilot (Bird),Launched Dec-2022 then paused before re-launching  May-2023. 1-year pilot (Bird),,,May-23 (Bird),,May-23 (Bird),,0,0,,,,1,Bird,,1,Bird,
POINT (-94.15742999997 36.06249999978),1077,-94.15743,36.0625,AR00235,2022AR00235,Fayetteville,AR,"Fayetteville, AR",2022,202212,,0,,1,1,Spin,1,1,Spin,Dockless and e-scooters,36.0625,-94.15743,05143,,,,,,Nov-19 (Spin),,Sep-22 (Spin),,0,0,,,,1,Spin,,1,Spin,
POINT (-80.329789999725 27.39879999987),1420,-80.32979,27.3988,FL00248,2022FL00248,Fort Pierce/Port St Lucie,FL,"Fort Pierce/Port St Lucie, FL",2022,202212,,0,,0,0,,1,1,Spin,E-scooters only,27.3988,-80.32979,12111,,,relaunched; Fort Pierce (Spin),,,Sep-19 (Spin),Dec-22 (Spin),,,0,0,,,,0,,,1,Spin,
POINT (-71.55228000002 42.345899999876),206,-71.55228,42.3459,MA00103,2017MA00103,Marlborough,MA,"Marlborough, MA",2017,201712,132,4,"City of Marlborough, MA",0,0,,0,0,,Docked only,42.3459,-71.55228,25017,,,,"Aug-17 (City of Marlborough, MA)","Jun-20 (City of Marlborough, MA)",,,,,6,6,0.09784736,"City of Marlborough, MA",,0,,,0,,
POINT (-97.107109999942 32.735499999652),1643,-97.10711,32.7355,TX00193,2023TX00193,Arlington,TX,"Arlington, TX",2023,202312,,0,,0,0,,0,0,,E-scooter only (campus),32.7355,-97.10711,48439,,,University of Texas at Arlington campus (Blue Duck),,,Mar-22 (Blue Duck),Jun-23 (Blue Duck),,,0,0,,,,0,,,0,,Blue Duck
POINT (-86.158299999873 39.768300000046),567,-86.1583,39.7683,IN0087,2021IN0087,Indianapolis,IN,"Indianapolis, IN",2021,202112,48,4,Indiana Pacers Bikeshare,0,0,,3,3,"Bird, Lime, Spin",Docked and e-scooters,39.7683,-86.1583,18097,,,,Oct-14 (Indiana Pacers Bikeshare),,"Aug-18 (Bird), Aug-18 (Lime), Jun-21 (Spin)",Jan-22 (Spin),,,48,48,0.64412238,Indiana Pacers Bikeshare,,0,,,3,"Bird, Lime, Spin",
POINT (-81.379000000307 28.542100000142),288,-81.379,28.5421,FL0061,2018FL0061,Orlando,FL,"Orlando, FL",2018,201812,32,4,Juice,0,0,,0,0,,Docked only,28.5421,-81.379,12095,,,,Jan-15 (Juice),Mar-19 (Juice),,,,,37,37,0.52541892,Juice,,0,,,0,,
POINT (-117.162769999736 32.716999999708),742,-117.16277,32.717,CA0025,2019CA0025,San Diego,CA,"San Diego, CA",2019,201912,59,4,DiscoverBike (was DecoBike in 2016 and 2017),2,2,"Jump, LimeBike",8,4,"Bird, Jump, Lime, Lyft, Razor, Spin, Wheels, Bird",All micro,32.717,-117.16277,06073,Dock count is from previous year,,Acquired by Helbiz Nov-2022 (Wheels),Jan-15 (DiscoverBike (was DecoBike in 2016 and 2017)),Apr-19 (DiscoverBike (was DecoBike in 2016 and 2017)),"Feb-18 (Bird), Dec-18 (Jump), Feb-18 (Lime), Dec-18 (Lyft), Aug-18 (Razor), Mar-19 (Spin), Jan-19 (Wheels), Feb-18 (Bird)","Apr-22 (Bird), Sep-19 (Jump), Jan-20 (Lime), Jan-22 (Lyft), Apr-20 (Razor), Apr-22 (Wheels)","Nov-18 (Jump), Feb-18 (LimeBike)","Sep-19 (Jump), Jan-20 (LimeBike)",100,0,1.46670578,,,2,"Jump, LimeBike",,8,"Bird, Jump, Lime, Lyft, Razor, Spin, Wheels, Bird",
POINT (-80.139210000223 25.956399999721),285,-80.13921,25.9564,FL0047,2018FL0047,Aventura,FL,"Aventura, FL",2018,201812,85,4,Aventura,0,0,,0,0,,Docked only,25.9564,-80.13921,12086,,,,Sep-16 (Aventura),,,,,,6,6,0.08520307,Aventura,,0,,,0,,
