the_geom,OBJECTID,X,Y,PLACEID,YEARPLACEID,CITY,STATE,CITYSTATE,YEAR,ASOFDATE,DOCKID,STATIONCT_BIN,DOCKNM,DOCKLESSCT,DOCKLESS_BIN,DOCKLESSNM,SCOOTERCT,SCOOTER_BIN,SCOOTERNM,TYPE,LAT,LON,GEOID,NOTESDOCK,NOTESDOCKLESS,NOTESSCOOTER,DATEDOCKEDLAUNCH,DATEDOCKEDEND,DATESCOOTERLAUNCH,DATESCOOTEREND,DATEDOCKLESSLAUNCH,DATEDOCKLESSEND,DOCKCT,DOCKCT_JUL,STATIONCT_PCT,DOCKNM_JUL,DOCKNM_CAMPUSONLY,DOCKLESSCT_JUL,DOCKLESSNM_JUL,DOCKLESSNM_CAMPUSONLY,SCOOTERCT_JUL,SCOOTERNM_JUL,SCOOTERNM_CAMPUSONLY
POINT (-104.984859999972 39.739199999776),1135,-104.98486,39.7392,CO0042,2023CO0042,Denver,CO,"Denver, CO",2023,202312,,0,,3,3,"Jump (acquired by Lime 05/2020), Lime, Lyft",2,2,"Lime, Lyft",Dockless and e-scooters,39.7392,-104.98486,08031,,,,,,"Aug-18 (Lime), Sep-18 (Lyft)",,"Sep-18 (Jump (acquired by Lime 05/2020)), Nov-18 (Lime), May-21 (Lyft)",,0,0,,,,3,"Jump (acquired by Lime 05/2020), Lime, Lyft",,2,"Lime, Lyft",
POINT (-70.982820000264 42.374999999756),866,-70.98282,42.375,MA00114,2018MA00114,Winthrop,MA,"Winthrop, MA",2018,201812,,0,,1,1,LimeBike,0,0,,Dockless only,42.375,-70.98282,25025,,,,,,,,Jun-18 (LimeBike),Jan-20 (LimeBike),0,0,,,,1,LimeBike,,0,,
POINT (-85.976659999942 41.681899999725),1182,-85.97666,41.6819,IN0084,2018IN0084,Elkhart,IN,"Elkhart, IN",2018,201812,,0,,0,0,,1,1,Lime,E-scooters only,41.6819,-85.97666,18039,,,,,,Nov-18 (Lime),Nov-19 (Lime),,,0,0,,,,0,,,1,Lime,
POINT (-76.886110000219 40.266300000111),454,-76.88611,40.2663,PA00180,2019PA00180,Harrisburg,PA,"Harrisburg, PA",2019,201912,122,4,Harrisburg,0,0,,0,0,,Docked only,40.2663,-76.88611,42043,,,,Oct-17 (Harrisburg),Jun-20 (Harrisburg),,,,,11,11,0.16133764,Harrisburg,,0,,,0,,
POINT (-75.16351999973 39.952699999956),244,-75.16352,39.9527,PA00181,2017PA00181,Philadelphia,PA,"Philadelphia, PA",2017,201712,43,4,Inde'go,0,0,,0,0,,Docked only,39.9527,-75.16352,42101,,,,Apr-15 (Inde'go),,,,,,122,122,1.98956295,Inde'go,,0,,,0,,
POINT (-70.754859999557 43.070200000134),436,-70.75486,43.0702,NH00148,2019NH00148,Portsmouth,NH,"Portsmouth, NH",2019,201912,87,4,Portsmouth,0,0,,0,0,,Docked only,43.0702,-70.75486,33015,,,,May-17 (Portsmouth),Jun-20 (Portsmouth),,,,,10,10,0.14667058,Portsmouth,,0,,,0,,
POINT (-98.230080000157 26.204299999989),258,-98.23008,26.2043,TX00203,2017TX00203,McAllen,TX,"McAllen, TX",2017,201712,28,4,McAllen B-cycle (RGV B-cycle),0,0,,0,0,,Docked only,26.2043,-98.23008,48215,,,,Oct-15 (McAllen B-cycle (RGV B-cycle)),,,,,,8,8,0.13046314,McAllen B-cycle (RGV B-cycle),,0,,,0,,
POINT (-83.176310000328 42.322000000024),319,-83.17631,42.322,MI00127,2018MI00127,Dearborn,MI,"Dearborn, MI",2018,201812,103,4,Dearborn,0,0,,0,0,,Docked only,42.322,-83.17631,26163,,,,Jun-17 (Dearborn),Jun-20 (Dearborn),,,,,14,14,0.19880716,Dearborn,,0,,,0,,
POINT (-74.407370000299 40.63369999976),961,-74.40737,40.6337,NJ00152,2019NJ00152,Plainfield,NJ,"Plainfield, NJ",2019,201912,,0,,1,1,LimeBike,0,0,,Dockless only,40.6337,-74.40737,34039,,,,,,,,Jun-18 (LimeBike),Nov-19 (LimeBike),0,0,,,,1,LimeBike,,0,,
POINT (-84.742050000196 39.510299999922),1349,-84.74205,39.5103,OH00169,2021OH00169,Oxford,OH,"Oxford, OH",2021,202112,,0,,0,0,,1,1,Lime,E-scooters only,39.5103,-84.74205,39017,,,Suspended 03/2020 due to COVID-19; resumed 09/2020 and assumed discontinued operation in 2021 as no data found after 2020 (Lime),,,Oct-18 (Lime),Jan-21 (Lime),,,0,0,,,,0,,,0,,
POINT (-66.111696000003 18.358140000373),1614,-66.111696,18.35814,PR00259,2023PR00259,Guaynabo,PR,"Guaynabo, PR",2023,202312,,0,,0,0,,1,1,Skootel,E-scooters only,18.35814,-66.111696,72061,,,,,,Jun-20 (Skootel),,,,0,0,,,,0,,,1,Skootel,
POINT (-85.182419999652 42.3192000001),214,-85.18242,42.3192,MI00126,2017MI00126,Battle Creek,MI,"Battle Creek, MI",2017,201712,49,3,Battle Creek B-cycle,0,0,,0,0,,Docked only,42.3192,-85.18242,26025,Suspended due to COVID-19 in 2020; remained suspended in 2021 as of 08/2021 (Battle Creek B-cycle),,,Aug-13 (Battle Creek B-cycle),Mar-20 (Battle Creek B-cycle),,,,,4,4,0.06523157,Battle Creek B-cycle,,0,,,0,,
POINT (-71.032819999908 42.391700000265),997,-71.03282,42.3917,MA00100,2020MA00100,Chelsea,MA,"Chelsea, MA",2020,202012,,0,,1,1,LimeBike,0,0,,Dockless only,42.3917,-71.03282,25025,,,,,,,,Jun-18 (LimeBike),Jan-20 (LimeBike),0,0,,,,0,,,0,,
POINT (-72.621369999911 42.105200000049),1439,-72.62137,42.1052,MA00250,2022MA00250,West Springfield,MA,"West Springfield, MA",2022,202212,,0,,0,0,,1,1,Bird,E-scooters only,42.1052,-72.62137,25013,,,,,,May-22 (Bird),,,,0,0,,,,0,,,1,Bird,
POINT (-95.367689999724 29.758899999711),537,-95.36769,29.7589,TX00201,2020TX00201,Houston,TX,"Houston, TX",2020,202012,17,4,Houston B-cycle,0,0,,0,0,,Docked only,29.7589,-95.36769,48201,,,,May-12 (Houston B-cycle),,,,,,97,97,1.52491747,Houston B-cycle,,0,,,0,,
POINT (-94.818799999737 38.883799999667),1572,-94.8188,38.8838,KS0093,2023KS0093,Olathe,KS,"Olathe, KS",2023,202312,,0,,0,0,,1,1,Bird,E-scooters only,38.8838,-94.8188,20091,,,,,,Jul-22 (Bird),,,,0,0,,,,0,,,1,Bird,
POINT (-105.066800000191 40.550800000142),736,-105.0668,40.5508,CO0043,2018CO0043,Fort Collins,CO,"Fort Collins, CO",2018,201812,65,4,Fort Collins Bike Share (became PACE dockless in 2018),0,0,,0,0,,Docked only,40.5508,-105.0668,08069,Dock count is from previous year,,,Apr-16 (Fort Collins Bike Share (became PACE dockless in 2018)),Mar-18 (Fort Collins Bike Share (became PACE dockless in 2018)),,,,,20,0,0.28401022,,,0,,,0,,
POINT (-77.096529999745 39.065400000273),1097,-77.09653,39.0654,MD00120,2022MD00120,Montgomery County,MD,"Montgomery County, MD",2022,202212,,0,,1,1,Lime,4,4,"Bird, Lime, Lyft, Spin",Dockless and e-scooters,39.0654,-77.09653,24031,,,,,,"Jun-19 (Bird), Jun-19 (Lime), Jun-19 (Lyft), Jul-20 (Spin)","Jan-22 (Bird), Jan-22 (Lyft), Jan-22 (Spin)",Jun-19 (Lime),,0,0,,,,1,Lime,,1,Lime,
POINT (-71.15644000034 42.415299999739),1010,-71.15644,42.4153,MA0095,2020MA0095,Arlington,MA,"Arlington, MA",2020,202012,,0,,1,1,LimeBike,0,0,,Dockless only,42.4153,-71.15644,25017,,,,,,,,Jun-18 (LimeBike),Jan-20 (LimeBike),0,0,,,,0,,,0,,
POINT (-77.007470000195 38.977800000319),814,-77.00747,38.9778,MD00123,2017MD00123,Takoma Park,MD,"Takoma Park, MD",2017,201712,,0,,1,1,Ofo,0,0,,Dockless only,38.9778,-77.00747,24031,,,,,,,,Oct-17 (Ofo),Jul-18 (Ofo),0,0,,,,1,Ofo,,0,,
POINT (-80.143370000387 26.122299999739),86,-80.14337,26.1223,FL0050,2016FL0050,Fort Lauderdale,FL,"Fort Lauderdale, FL",2016,201612,12,4,Broward B-cycle,0,0,,0,0,,Docked only,26.1223,-80.14337,12011,,,,Dec-11 (Broward B-cycle),,,,,,22,22,0.45063499,Broward B-cycle,,0,,,0,,
POINT (-116.176200000022 33.679399999971),1300,-116.1762,33.6794,CA00334,2021CA00334,Coachella,CA,"Coachella, CA",2021,202112,,0,,0,0,,1,1,Bird,E-scooters only,33.6794,-116.1762,06065,,,Contract to end in 2023 but still serving as of Jun-2023 (Bird),,,May-21 (Bird),,,,0,0,,,,0,,,1,Bird,
POINT (-76.345199999905 37.029999999831),1520,-76.3452,37.03,VA002181,2022VA002181,Hampton,VA,"Hampton, VA",2022,202212,,0,,0,0,,1,1,Lime,E-scooters only,37.03,-76.3452,51650,,,1-year pilot program (Lime),,,Jul-21 (Lime),Jul-22 (Lime),,,0,0,,,,0,,,1,Lime,
POINT (-75.16351999973 39.952699999956),50,-75.16352,39.9527,PA00181,2015PA00181,Philadelphia,PA,"Philadelphia, PA",2015,201512,43,4,Inde'go,0,0,,0,0,,Docked only,39.9527,-75.16352,42101,,,,Apr-15 (Inde'go),,,,,,71,71,2.10557533,Inde'go,,0,,,0,,
POINT (-118.491220000236 34.018999999727),1040,-118.49122,34.019,CA0033,2021CA0033,Santa Monica,CA,"Santa Monica, CA",2021,202112,,0,,2,2,"Lyft, Veo",5,4,"Bird, Lyft, Spin, Veo, Wheels (acquired by Helbiz 11/2022)",Dockless and e-scooters,34.019,-118.49122,06037,,Ends Sept 2023 (Veo),"Ends Sept 2023 (Spin), Ends Sept 2023 (Veo), Acquired by Helbiz Nov-2022. Ends Sept 2023 (Wheels (acquired by Helbiz 11/2022))",,,"Sep-17 (Bird), Sep-18 (Lyft), Jul-21 (Spin), Jul-21 (Veo), Jul-21 (Wheels (acquired by Helbiz 11/2022))","Jun-21 (Bird), Jun-21 (Lyft)","Sep-20 (Lyft), Jul-21 (Veo)",Nov-22 (Lyft),0,0,,,,2,"Lyft, Veo",,3,"Spin, Veo, Wheels (acquired by Helbiz 11/2022)",
POINT (-82.398479999643 34.851300000318),658,-82.39848,34.8513,SC00185,2022SC00185,Greenville,SC,"Greenville, SC",2022,202212,44,4,Greenville B-cycle,0,0,,0,0,,Docked only,34.8513,-82.39848,45045,relaunched (Greenville B-cycle),,,Feb-21 (Greenville B-cycle),,,,,,9,9,0.10610705,Greenville B-cycle,,0,,,0,,
POINT (-66.066998499461 18.425383649931),1263,-66.0669985,18.42538365,PR00258,2020PR00258,"San Juan (Rio Piedras, Condado)",PR,"San Juan (Rio Piedras, Condado), PR",2020,202012,,0,,0,0,,1,1,Skootel,E-scooters only,18.42538365,-66.0669985,72127,,,,,,Jun-20 (Skootel),,,,0,0,,,,0,,,1,Skootel,
POINT (-111.926009999795 33.494200000322),796,-111.92601,33.4942,AZ007,2017AZ007,Scottsdale,AZ,"Scottsdale, AZ",2017,201712,,0,,2,2,"LimeBike, Ofo",0,0,,Dockless only,33.4942,-111.92601,04013,,,,,,,,"Nov-17 (LimeBike), Nov-17 (Ofo)","Jan-20 (LimeBike), Jul-18 (Ofo)",0,0,,,,2,"LimeBike, Ofo",,0,,
POINT (-97.439480000347 35.222499999887),1219,-97.43948,35.2225,OK00172,2019OK00172,Norman,OK,"Norman, OK",2019,201912,,0,,0,0,,2,2,"Bird, Lime",E-scooters only,35.2225,-97.43948,40027,,,,,,"Aug-18 (Bird), Aug-18 (Lime)","Dec-19 (Bird), Dec-19 (Lime)",,,0,0,,,,0,,,2,"Bird, Lime",
POINT (-71.801880000002 42.262500000017),813,-71.80188,42.2625,MA00115,2017MA00115,Worcester,MA,"Worcester, MA",2017,201712,,0,,1,1,Ofo,0,0,,Dockless only,42.2625,-71.80188,25027,,,,,,,,Sep-17 (Ofo),Jul-18 (Ofo),0,0,,,,1,Ofo,,0,,
POINT (-86.77428999957 36.162200000144),533,-86.77429,36.1622,TN00192,2020TN00192,Nashville,TN,"Nashville, TN",2020,202012,21,4,Nashville B-cycle,1,1,Jump,4,4,"Bird, Bolt, Jump (acquired by Lime 05/2020), Lime",All micro,36.1622,-86.77429,47037,,,,Dec-12 (Nashville B-cycle),,"Jun-18 (Bird), May-19 (Bolt), Feb-19 (Jump (acquired by Lime 05/2020)), Aug-18 (Lime)","Jan-20 (Bolt), May-20 (Jump (acquired by Lime 05/2020))",Feb-19 (Jump),Mar-20 (Jump),35,35,0.55022795,Nashville B-cycle,,0,,,2,"Bird, Lime",
POINT (-122.439870000048 47.24899999973),897,-122.43987,47.249,WA00227,2018WA00227,Tacoma,WA,"Tacoma, WA",2018,201812,,0,,1,1,LimeBike,2,2,"Bird, Lime",Dockless and e-scooters,47.249,-122.43987,53053,,,,,,"Sep-18 (Bird), Sep-18 (Lime)","Feb-19 (Bird), May-20 (Lime)",Sep-18 (LimeBike),Dec-19 (LimeBike),0,0,,,,1,LimeBike,,2,"Bird, Lime",
POINT (-91.082609999799 30.400700000134),501,-91.08261,30.4007,LA00252,2020LA00252,Baton Rouge,LA,"Baton Rouge, LA",2020,202012,151,4,Gotcha,0,0,,0,0,,Docked only,30.4007,-91.08261,22033,,,,Jul-19 (Gotcha),Jul-22 (Gotcha),,,,,54,54,0.84892313,Gotcha,,0,,,0,,
POINT (-116.200879999728 43.616600000114),297,-116.20088,43.6166,ID0075,2018ID0075,Boise,ID,"Boise, ID",2018,201812,36,4,Boise Green Bike,0,0,,2,2,"Bird, Lime",Docked and e-scooters,43.6166,-116.20088,16001,,,,Apr-15 (Boise Green Bike),Aug-20 (Boise Green Bike),"Oct-18 (Bird), Oct-18 (Lime)",Jan-22 (Bird),,,101,101,1.43425163,Boise Green Bike,,0,,,2,"Bird, Lime",
POINT (-77.007470000195 38.977800000319),952,-77.00747,38.9778,MD00123,2019MD00123,Takoma Park,MD,"Takoma Park, MD",2019,201912,,0,,1,1,Lime,3,3,"Bird, Lime, Lyft",Dockless and e-scooters,38.9778,-77.00747,24031,,,,,,"Jun-19 (Bird), Jun-19 (Lime), Jun-19 (Lyft)","Jan-22 (Bird), Jan-22 (Lyft)",Jun-19 (Lime),,0,0,,,,1,Lime,,3,"Bird, Lime, Lyft",
POINT (-71.182829999783 42.37000000002),943,-71.18283,42.37,MA00113,2019MA00113,Watertown,MA,"Watertown, MA",2019,201912,,0,,1,1,LimeBike,0,0,,Dockless only,42.37,-71.18283,25017,,,,,,,,Jun-18 (LimeBike),Jan-20 (LimeBike),0,0,,,,1,LimeBike,,0,,
POINT (-87.922490000209 43.034900000042),67,-87.92249,43.0349,WI00229,2015WI00229,Milwaukee,WI,"Milwaukee, WI",2015,201512,50,4,Bublr Bikes,0,0,,0,0,,Docked only,43.0349,-87.92249,55079,,,,Aug-14 (Bublr Bikes),,,,,,11,11,0.3262159,Bublr Bikes,,0,,,0,,
POINT (-93.999350000012 44.163400000245),1535,-93.99935,44.1634,MN00139,2022MN00139,Mankato,MN,"Mankato, MN",2022,202212,,0,,0,0,,0,0,,E-scooter only (campus),44.1634,-93.99935,27013,,,Minnesota State campus (Bird),,,Sep-21 (Bird),Jan-22 (Bird),,,0,0,,,,0,,,0,,Bird
POINT (-85.182419999652 42.3192000001),113,-85.18242,42.3192,MI00126,2016MI00126,Battle Creek,MI,"Battle Creek, MI",2016,201612,49,3,Battle Creek B-cycle,0,0,,0,0,,Docked only,42.3192,-85.18242,26025,Suspended due to COVID-19 in 2020; remained suspended in 2021 as of 08/2021 (Battle Creek B-cycle),,,Aug-13 (Battle Creek B-cycle),Mar-20 (Battle Creek B-cycle),,,,,4,4,0.08193363,Battle Creek B-cycle,,0,,,0,,
POINT (-98.49513999989 29.419999999784),259,-98.49514,29.42,TX00205,2017TX00205,San Antonio,TX,"San Antonio, TX",2017,201712,22,4,San Antonio B-cycle,0,0,,0,0,,Docked only,29.42,-98.49514,48029,,,,Mar-11 (San Antonio B-cycle),,,,,,61,61,0.99478147,San Antonio B-cycle,,0,,,0,,
POINT (-76.936909999929 38.980600000109),211,-76.93691,38.9806,MD00119,2017MD00119,College Park,MD,"College Park, MD",2017,201712,97,4,College Park,0,0,,0,0,,Docked only,38.9806,-76.93691,24033,,,,May-16 (College Park),Aug-19 (College Park),,,,,23,23,0.37508154,College Park,,0,,,0,,
POINT (-118.369280000302 34.092299999961),278,-118.36928,34.0923,CA0037,2018CA0037,West Hollywood,CA,"West Hollywood, CA",2018,201812,80,4,WeHo Pedals,0,0,,0,0,,Docked only,34.0923,-118.36928,06037,,,,Aug-16 (WeHo Pedals),Aug-19 (WeHo Pedals),,,,,23,23,0.32661176,WeHo Pedals,,0,,,0,,
POINT (-77.434200000139 37.538499999851),474,-77.4342,37.5385,VA00220,2019VA00220,Richmond,VA,"Richmond, VA",2019,201912,136,4,RVA Bike Share,0,0,,2,2,"Bird, Bolt",Docked and e-scooters,37.5385,-77.4342,51760,,,,Aug-17 (RVA Bike Share),May-23 (RVA Bike Share),"Oct-19 (Bird), Jun-19 (Bolt)",Sep-21 (Bolt),,,17,17,0.24933998,RVA Bike Share,,0,,,2,"Bird, Bolt",
POINT (-122.123869999965 47.669399999885),1278,-122.12387,47.6694,WA002241,2020WA002241,Redmond,WA,"Redmond, WA",2020,202012,,0,,0,0,,1,1,Lime,E-scooters only,47.6694,-122.12387,53033,,,,,,Jul-19 (Lime),,,,0,0,,,,0,,,1,Lime,
POINT (-88.043050000119 30.694299999792),902,-88.04305,30.6943,AL00250,2019AL00250,Mobile,AL,"Mobile, AL",2019,201912,,0,,1,1,Lime,1,1,Gotcha,Dockless and e-scooters,30.6943,-88.04305,01097,,,,,,Dec-19 (Gotcha),Jul-22 (Gotcha),Aug-18 (Lime),Feb-19 (Lime),0,0,,,,0,,,1,Gotcha,
POINT (-118.369280000302 34.092299999961),78,-118.36928,34.0923,CA0037,2016CA0037,West Hollywood,CA,"West Hollywood, CA",2016,201612,80,4,WeHo Pedals,0,0,,0,0,,Docked only,34.0923,-118.36928,06037,,,,Aug-16 (WeHo Pedals),Aug-19 (WeHo Pedals),,,,,18,18,0.36870135,WeHo Pedals,,0,,,0,,
POINT (-80.24405000009 36.099800000035),1600,-80.24405,36.0998,NC00143,2023NC00143,Winston-Salem,NC,"Winston-Salem, NC",2023,202312,,0,,0,0,,1,1,Spin,E-scooters only,36.0998,-80.24405,37067,,,,,,Oct-19 (Spin),,,,0,0,,,,0,,,1,Spin,
POINT (-97.058569999791 36.115600000342),1235,-97.05857,36.1156,OK00174,2019OK00174,Stillwater,OK,"Stillwater, OK",2019,201912,,0,,0,0,,0,0,,E-scooter only (campus),36.1156,-97.05857,40119,,,Oklahoma State University campus (Spin),,,Jan-19 (Spin),,,,0,0,,,,0,,,0,,Spin
POINT (-85.921300000035 39.201400000007),200,-85.9213,39.2014,IN0083,2017IN0083,Columbus,IN,"Columbus, IN",2017,201712,86,4,columBike,0,0,,0,0,,Docked only,39.2014,-85.9213,18005,,,,May-16 (columBike),Nov-19 (columBike),,,,,8,8,0.13046314,columBike,,0,,,0,,
POINT (-85.667859999556 42.963200000164),1251,-85.66786,42.9632,MI0079,2020MI0079,Grand Rapids,MI,"Grand Rapids, MI",2020,202012,,0,,0,0,,1,1,Spin,E-scooters only,42.9632,-85.66786,26081,,,,,,Sep-20 (Spin),Jan-21 (Spin),,,0,0,,,,0,,,1,Spin,
POINT (-73.878589999775 40.846599999794),1603,-73.87859,40.8466,NY001560,2023NY001560,Bronx,NY,"Bronx, NY",2023,202312,,0,,0,0,,3,3,"Veo, Bird, Lime",E-scooters only,40.8466,-73.87859,36005,,,"2-year pilot extended (Veo), 2-year pilot extended (Bird), 2-year pilot extended (Lime)",,,"Aug-21 (Veo), Aug-21 (Bird), Aug-21 (Lime)",,,,0,0,,,,0,,,3,"Veo, Bird, Lime",
POINT (-80.186710000109 25.890000000219),845,-80.18671,25.89,FL0060,2018FL0060,North Miami,FL,"North Miami, FL",2018,201812,,0,,1,1,LimeBike,0,0,,Dockless only,25.89,-80.18671,12086,,,,,,,,Feb-18 (LimeBike),Jan-19 (LimeBike),0,0,,,,1,LimeBike,,0,,
POINT (-86.534280000336 39.166999999971),929,-86.53428,39.167,IN0078,2019IN0078,Bloomington,IN,"Bloomington, IN",2019,201912,,0,,2,2,"Pace, Lime",2,2,"Bird, Lime",Dockless and e-scooters,39.167,-86.53428,18105,,,,,,"Sep-18 (Bird), Sep-18 (Lime)",,"Jun-18 (Pace), Sep-18 (Lime)",May-19 (Pace),0,0,,,,1,Lime,,2,"Bird, Lime",
POINT (-84.280930000148 30.437999999979),847,-84.28093,30.438,FL0063,2018FL0063,Tallahassee,FL,"Tallahassee, FL",2018,201812,,0,,1,1,Pace,0,0,,Dockless only,30.438,-84.28093,12073,,,,,,,,Dec-17 (Pace),Oct-18 (Pace),0,0,,,,1,Pace,,0,,
POINT (-82.101240000033 39.328900000103),1283,-82.10124,39.3289,OH00163,2020OH00163,Athens,OH,"Athens, OH",2020,202012,,0,,0,0,,0,0,,E-scooter only (campus),39.3289,-82.10124,39009,,,Ohio University campus (Spin),,,Feb-20 (Spin),Jan-22 (Spin),,,0,0,,,,0,,,0,,Spin
POINT (-96.307100000208 30.595499999864),1123,-96.3071,30.5955,TX001941,2022TX001941,College Station,TX,"College Station, TX",2022,202212,,0,,0,0,,0,0,,Dockless and e-scooters (campus),30.5955,-96.3071,48041,,Texas A&M University campus (Veoride),Texas A&M University campus (Veo),,,Mar-21 (Veo),,Nov-18 (Veoride),,0,0,,,,0,,Veoride,0,,Veo
POINT (-104.984859999972 39.739199999776),9,-104.98486,39.7392,CO0042,2015CO0042,Denver,CO,"Denver, CO",2015,201512,7,4,Denver B-cycle,0,0,,0,0,,Docked only,39.7392,-104.98486,08031,,,,Apr-10 (Denver B-cycle),Jun-20 (Denver B-cycle),,,,,84,84,2.4911032,Denver B-cycle,,0,,,0,,
POINT (-117.104930999987 32.672340000239),981,-117.104931,32.67234,CA0022,2020CA0022,National City,CA,"National City, CA",2020,202012,,0,,1,1,LimeBike,0,0,,Dockless only,32.67234,-117.104931,06073,,,,,,,,Nov-17 (LimeBike),Jan-20 (LimeBike),0,0,,,,0,,,0,,
POINT (-103.227440000061 44.086900000317),249,-103.22744,44.0869,SD00188,2017SD00188,Rapid City,SD,"Rapid City, SD",2017,201712,30,2,Rapid City B-cycle,0,0,,0,0,,Docked only,44.0869,-103.22744,46103,,,,Jul-14 (Rapid City B-cycle),Nov-19 (Rapid City B-cycle),,,,,2,2,0.03261579,Rapid City B-cycle,,0,,,0,,
POINT (-73.855080000032 40.963300000216),1484,-73.85508,40.9633,NY00163,2022NY00163,Yonkers,NY,"Yonkers, NY",2022,202212,,0,,0,0,,1,1,Bird,E-scooters only,40.9633,-73.85508,36119,,,,,,Aug-20 (Bird),,,,0,0,,,,0,,,1,Bird,
POINT (-122.241629999643 37.765199999889),825,-122.24163,37.7652,CA0010,2018CA0010,Alameda,CA,"Alameda, CA",2018,201812,,0,,1,1,LimeBike,0,0,,Dockless only,37.7652,-122.24163,06001,,,,,,,,Oct-17 (LimeBike),Feb-19 (LimeBike),0,0,,,,1,LimeBike,,0,,
POINT (-85.30947999965 35.045700000139),720,-85.30948,35.0457,TN00189,2023TN00189,Chattanooga,TN,"Chattanooga, TN",2023,202312,54,4,Bike Chattanooga,0,0,,0,0,,Docked only,35.0457,-85.30948,47065,,,,Jul-12 (Bike Chattanooga),,,,,,42,42,0.47748977,Bike Chattanooga,,0,,,0,,
POINT (-88.239709999586 40.126099999695),993,-88.23971,40.1261,IL00245,2020IL00245,Champaign-Urbana,IL,"Champaign-Urbana, IL",2020,202012,,0,,1,1,Veoride,0,0,,Dockless only,40.1261,-88.23971,17019,,Additionally piloted on University of Illinois campus May to Aug 2023 (Veoride),,,,,,Sep-18 (Veoride),,0,0,,,,1,Veoride,,0,,
POINT (-86.158299999873 39.768300000046),410,-86.1583,39.7683,IN0087,2019IN0087,Indianapolis,IN,"Indianapolis, IN",2019,201912,48,4,Indiana Pacers Bikeshare,0,0,,3,3,"Bird, Lime, Spin",Docked and e-scooters,39.7683,-86.1583,18097,,,,Oct-14 (Indiana Pacers Bikeshare),,"Aug-18 (Bird), Aug-18 (Lime), May-19 (Spin)",Nov-19 (Spin),,,29,29,0.42534468,Indiana Pacers Bikeshare,,0,,,3,"Bird, Lime, Spin",
POINT (-82.66949999969 27.770000000311),1421,-82.6695,27.77,FL00249,2022FL00249,St Petersburg,FL,"St Petersburg, FL",2022,202212,,0,,0,0,,1,1,Veo,E-scooters only,27.77,-82.6695,12103,,,,,,Oct-20 (Veo),,,,0,0,,,,0,,,1,Veo,
POINT (-84.555379999715 42.733699999884),1249,-84.55538,42.7337,MI00129,2020MI00129,Lansing,MI,"Lansing, MI",2020,202012,,0,,0,0,,2,2,"Gotcha, Lime",E-scooters only,42.7337,-84.55538,26065,,,relaunched (Lime),,,"Sep-19 (Gotcha), Sep-19 (Lime)",Dec-20 (Gotcha),,,0,0,,,,0,,,2,"Gotcha, Lime",
POINT (-70.754859999557 43.070200000134),329,-70.75486,43.0702,NH00148,2018NH00148,Portsmouth,NH,"Portsmouth, NH",2018,201812,87,4,Portsmouth,0,0,,0,0,,Docked only,43.0702,-70.75486,33015,,,,May-17 (Portsmouth),Jun-20 (Portsmouth),,,,,10,10,0.14200511,Portsmouth,,0,,,0,,
POINT (-73.855080000032 40.963300000216),1025,-73.85508,40.9633,NY00163,2020NY00163,Yonkers,NY,"Yonkers, NY",2020,202012,,0,,1,1,LimeBike,1,1,Bird,Dockless and e-scooters,40.9633,-73.85508,36119,,,,,,Aug-20 (Bird),,May-18 (LimeBike),Jan-20 (LimeBike),0,0,,,,0,,,1,Bird,
POINT (-81.693440000442 41.505099999783),234,-81.69344,41.5051,OH00165,2017OH00165,Cleveland,OH,"Cleveland, OH",2017,201712,"71, 79",4,"Zagster Cleveland, UH Bikes",0,0,,0,0,,Docked only,41.5051,-81.69344,39035,,,,"Oct-13 (Zagster Cleveland), Sep-16 (UH Bikes)","Jan-17 (Zagster Cleveland), Nov-19 (UH Bikes)",,,,,41,41,0.66862361,UH Bikes,,0,,,0,,
POINT (-77.312230000068 39.183999999939),210,-77.31223,39.184,MD00118,2017MD00118,Boyds,MD,"Boyds, MD",2017,201712,134,2,Montgomery Parks,0,0,,0,0,,Docked only,39.184,-77.31223,24031,,,,Aug-17 (Montgomery Parks),Jun-20 (Montgomery Parks),,,,,2,2,0.03261579,Montgomery Parks,,0,,,0,,
POINT (-95.367689999724 29.758899999711),364,-95.36769,29.7589,TX00201,2018TX00201,Houston,TX,"Houston, TX",2018,201812,17,4,Houston B-cycle,0,0,,0,0,,Docked only,29.7589,-95.36769,48201,,,,May-12 (Houston B-cycle),,,,,,88,88,1.24964499,Houston B-cycle,,0,,,0,,
POINT (-81.949799999905 28.039400000162),89,-81.9498,28.0394,FL0054,2016FL0054,Lakeland,FL,"Lakeland, FL",2016,201612,69,4,Swan City Cycle,0,0,,0,0,,Docked only,28.0394,-81.9498,12105,,,,Dec-15 (Swan City Cycle),Jan-17 (Swan City Cycle),,,,,7,7,0.14338386,Swan City Cycle,,0,,,0,,
POINT (-71.178659999573 42.39500000002),948,-71.17866,42.395,MA0097,2019MA0097,Belmont,MA,"Belmont, MA",2019,201912,,0,,1,1,LimeBike,0,0,,Dockless only,42.395,-71.17866,25017,,,,,,,,Jun-18 (LimeBike),Jan-20 (LimeBike),0,0,,,,1,LimeBike,,0,,
